,0,Gene ID
ENSG00000152127,0.000256487,
ENSG00000110442,0.000255887,
ENSG00000007062,0.000255827,
ENSG00000268705,0.000255161,
ENSG00000103111,0.000255084,
ENSG00000053371,0.000254817,
ENSG00000198939,0.00025472,
ENSG00000212993,0.00025424,
ENSG00000171435,0.000254136,
ENSG00000012779,0.000254022,
ENSG00000214338,0.000253798,
ENSG00000151773,0.000253723,
ENSG00000184922,0.000253707,
ENSG00000138381,0.000253707,
ENSG00000263809,0.000253688,
ENSG00000169248,0.000253594,
ENSG00000101489,0.000253398,
ENSG00000234370,0.000252772,
ENSG00000175063,0.000252305,
ENSG00000211869,0.0002514,
ENSG00000090975,0.000251381,
ENSG00000100979,0.000251156,
ENSG00000125551,0.000250785,
ENSG00000168000,0.000250746,
ENSG00000248487,0.000250352,
ENSG00000273135,0.000250329,
ENSG00000125462,0.000249793,
ENSG00000188229,0.00024973,
ENSG00000085276,0.000249692,
ENSG00000164347,0.000249492,
ENSG00000267964,0.00024949,
ENSG00000173276,0.00024943,
ENSG00000116586,0.000249411,
ENSG00000230791,0.000249388,
ENSG00000166441,0.000249166,
ENSG00000131238,0.000249055,
ENSG00000112139,0.000248982,
ENSG00000088726,0.000248814,
ENSG00000087302,0.000248773,
ENSG00000069248,0.000248645,
ENSG00000173281,0.000248234,
